Area,City,Location,LocationFlag,Month,Region,Year
,GRAND FORKS,2ND ST & 75TH AVE,Intersection,AUGUST,Southern Interior,2011
,GRAND FORKS,3RD ST & MARKET AVE,Intersection,FEBRUARY,Southern Interior,2013
,GREENWOOD,approx 466 GOLD ST,Road Segment,OCTOBER,Southern Interior,2011
,HARRISON HOT SPRINGS,EMERALD AVE & HOT SPRINGS RD,Intersection,APRIL,Lower Mainland,2011
,HORNBY ISLAND,CENTRAL RD & STRACHAN RD,Intersection,AUGUST,Vancouver Island,2013
,HORNBY ISLAND,CENTRAL RD & LITTLE TRIBUNE BAY RD,Intersection,JULY,Vancouver Island,2013
,INVERMERE,4TH ST & 7TH AVE,Intersection,APRIL,Southern Interior,2010
,KAMLOOPS,12TH ST & HALSTON AVE,Intersection,FEBRUARY,Southern Interior,2009
,KAMLOOPS,3RD AVE & LORNE ST & RIVERSIDE PARK EAST,Intersection,JULY,Southern Interior,2009
,KAMLOOPS,ORIOLE RD & VALLEYVIEW DR,Intersection,JUNE,Southern Interior,2009
,KAMLOOPS,MACKENZIE AVE & POPLAR ST,Intersection,JUNE,Southern Interior,2009
,KAMLOOPS,12TH ST & LETHBRIDGE AVE,Intersection,MAY,Southern Interior,2009
,KAMLOOPS,SCHREINER ST & TRANQUILLE RD,Intersection,OCTOBER,Southern Interior,2009
,KAMLOOPS,HILLSIDE DR & HILLSIDE WAY & MALL ACCESS & TURNING LANE,Intersection,AUGUST,Southern Interior,2010
,KAMLOOPS,1ST AVE & COLUMBIA ST & COLUMBIA ST W,Intersection,AUGUST,Southern Interior,2010
,KAMLOOPS,POPLAR ST & TRANQUILLE RD & VERNON AVE,Intersection,AUGUST,Southern Interior,2010
,KAMLOOPS,11TH ST & TRANQUILLE RD,Intersection,AUGUST,Southern Interior,2010
,KAMLOOPS,SOUTHILL ST & SUNNYCREST AVE,Intersection,AUGUST,Southern Interior,2010
,KAMLOOPS,POPLAR ST & TRANQUILLE RD & VERNON AVE,Intersection,JULY,Southern Interior,2010
,KAMLOOPS,8TH ST & MONCTON AVE,Intersection,JULY,Southern Interior,2010
,KAMLOOPS,HALSTON AVE & KINGSTON AVE,Intersection,JUNE,Southern Interior,2010
,KAMLOOPS,3RD AVE & LORNE ST & RIVERSIDE PARK EAST,Intersection,MARCH,Southern Interior,2010
,KAMLOOPS,BAKER ST & FAIRVIEW AVE,Intersection,OCTOBER,Southern Interior,2010
,KAMLOOPS,HILLSIDE DR & MCGILL RD,Intersection,APRIL,Southern Interior,2011
,KAMLOOPS,4TH AVE & VICTORIA ST,Intersection,APRIL,Southern Interior,2011
,KAMLOOPS,E TRANS-CANADA HWY & HIGHLAND RD,Intersection,AUGUST,Southern Interior,2011
,KAMLOOPS,3RD AVE & COLUMBIA ST,Intersection,JUNE,Southern Interior,2011
,KAMLOOPS,HUGH ALLAN DR & HWY 5A & SUMMIT DR & TURNING LANE,Intersection,MARCH,Southern Interior,2011
,KAMLOOPS,1ST AVE & VICTORIA ST & VICTORIA ST W,Intersection,MARCH,Southern Interior,2011
,KAMLOOPS,6TH AVE & DOUGLAS ST,Intersection,SEPTEMBER,Southern Interior,2011
,KAMLOOPS,3RD AVE & VICTORIA ST,Intersection,SEPTEMBER,Southern Interior,2011
,KAMLOOPS,E TRANS-CANADA HWY FRTG & FLAMINGO RD & HIGHLAND RD,Intersection,SEPTEMBER,Southern Interior,2011
,KAMLOOPS,8TH ST & FORTUNE DR & TRANQUILLE RD,Intersection,SEPTEMBER,Southern Interior,2011
,KAMLOOPS,PORTERFIELD RD & WAWN RD & WESTSYDE RD,Intersection,APRIL,Southern Interior,2012
,KAMLOOPS,MONTEITH DR & SUMMIT DR,Intersection,AUGUST,Southern Interior,2012
,KAMLOOPS,6TH AVE & ST PAUL ST,Intersection,JULY,Southern Interior,2012
,KAMLOOPS,6TH AVE & BATTLE ST,Intersection,JUNE,Southern Interior,2012
,KAMLOOPS,6TH AVE & SEYMOUR ST,Intersection,MARCH,Southern Interior,2012
,KAMLOOPS,CLAPPERTON RD & KNOX ST & TRANQUILLE RD,Intersection,MAY,Southern Interior,2012
,KAMLOOPS,MACKENZIE AVE & TRANQUILLE RD,Intersection,MAY,Southern Interior,2012
,KAMLOOPS,FORTUNE DR & VERNON AVE,Intersection,OCTOBER,Southern Interior,2012
,KAMLOOPS,8TH ST & RICHMOND AVE,Intersection,SEPTEMBER,Southern Interior,2012
,KAMLOOPS,8TH ST & RICHMOND AVE,Intersection,APRIL,Southern Interior,2013
,KAMLOOPS,2ND AVE & LANSDOWNE ST,Intersection,AUGUST,Southern Interior,2013
,KAMLOOPS,COLUMBIA ST W & PEMBERTON TERR,Intersection,JANUARY,Southern Interior,2013
,KAMLOOPS,8TH ST & FORTUNE DR & TRANQUILLE RD,Intersection,JANUARY,Southern Interior,2013
,KAMLOOPS,1ST AVE & VICTORIA ST & VICTORIA ST W,Intersection,MAY,Southern Interior,2013
,KAMLOOPS,6TH AVE & BATTLE ST,Intersection,OCTOBER,Southern Interior,2013
,KAMLOOPS,approx 800 BLK 8TH AVE,Road Segment,JULY,Southern Interior,2009
,KAMLOOPS,approx 6231 BARNHARTVALE RD,Road Segment,MAY,Southern Interior,2009
,KAMLOOPS,approx 74 SEYMOUR ST W,Road Segment,NOVEMBER,Southern Interior,2012
,KELOWNA,MEIKLE AVE & WALNUT ST,Intersection,APRIL,Southern Interior,2009
,KELOWNA,BENVOULIN RD & DILWORTH DR & SPRINGFIELD RD & TURNING LANE,Intersection,APRIL,Southern Interior,2009
,KELOWNA,FRANKLYN RD & HOUGHTON RD,Intersection,APRIL,Southern Interior,2009
,KELOWNA,KANE RD & VALLEY RD,Intersection,APRIL,Southern Interior,2009
,KELOWNA,ABBOTT ST & PARK AVE,Intersection,AUGUST,Southern Interior,2009
,KELOWNA,CAPRI ST & HARVEY AVE,Intersection,AUGUST,Southern Interior,2009
,KELOWNA,GORDON DR & HARVEY AVE,Intersection,AUGUST,Southern Interior,2009
,KELOWNA,HARVEY AVE & PANDOSY ST & WATER ST & TURNING LANE,Intersection,AUGUST,Southern Interior,2009
,KELOWNA,HWY 33 W & HWY 97 N & TURNING LANE,Intersection,AUGUST,Southern Interior,2009
,KELOWNA,HOLLYWOOD CRT & HOLLYWOOD RD S,Intersection,FEBRUARY,Southern Interior,2009
,KELOWNA,SPALL RD & SPRINGFIELD RD,Intersection,JANUARY,Southern Interior,2009
,KELOWNA,BURTCH RD & KELGLEN CRES,Intersection,JANUARY,Southern Interior,2009
,KELOWNA,PANDOSY ST & SUTHERLAND AVE,Intersection,JULY,Southern Interior,2009
,KELOWNA,RICHTER ST & ROWCLIFFE AVE,Intersection,JULY,Southern Interior,2009
,KELOWNA,DUNDAS RD & HWY 33 W,Intersection,JULY,Southern Interior,2009
,KELOWNA,HOLLYWOOD RD N & HOLLYWOOD RD S & HWY 33 W,Intersection,JULY,Southern Interior,2009
,KELOWNA,BAY AVE & KINGSWAY,Intersection,JULY,Southern Interior,2009
,KELOWNA,GUISACHAN RD & STILLINGFLEET RD,Intersection,JUNE,Southern Interior,2009
,KELOWNA,GLENWOOD AVE & RICHTER ST,Intersection,JUNE,Southern Interior,2009
,KELOWNA,GORDON DR & SPRINGFIELD RD,Intersection,JUNE,Southern Interior,2009
,KELOWNA,LECKIE RD & SPRINGFIELD RD & PARK ACCESS RD,Intersection,JUNE,Southern Interior,2009
,KELOWNA,DOUGALL RD N & DOUGALL RD S & HWY 33 W,Intersection,JUNE,Southern Interior,2009
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,JUNE,Southern Interior,2009
,KELOWNA,CAWSTON AVE & ETHEL ST,Intersection,JUNE,Southern Interior,2009
,KELOWNA,GLENMORE DR & GLENMORE RD & HIGH RD & SUMMIT DR & TURNING LANE,Intersection,JUNE,Southern Interior,2009
,KELOWNA,CONLIN CRT & KLO RD,Intersection,MAY,Southern Interior,2009
,KELOWNA,HARVEY AVE & RICHTER ST,Intersection,MAY,Southern Interior,2009
,KELOWNA,ALTA VISTA RD & LAWRENCE AVE,Intersection,MAY,Southern Interior,2009
,KELOWNA,GORDON DR & KLO RD,Intersection,OCTOBER,Southern Interior,2009
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,OCTOBER,Southern Interior,2009
,KELOWNA,CADDER AVE & PANDOSY ST,Intersection,SEPTEMBER,Southern Interior,2009
,KELOWNA,BANKS RD & HWY 97 N & TURNING LANE,Intersection,SEPTEMBER,Southern Interior,2009
,KELOWNA,BENVOULIN RD & COOPER RD & TURNING LANE,Intersection,APRIL,Southern Interior,2010
,KELOWNA,GORDON DR & HARVEY AVE,Intersection,APRIL,Southern Interior,2010
,KELOWNA,HWY 33 W & NICKEL RD,Intersection,APRIL,Southern Interior,2010
,KELOWNA,HARTMAN RD & RUTLAND RD N,Intersection,APRIL,Southern Interior,2010
,KELOWNA,COLLETT RD & LAKESHORE RD,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,CRAWFORD RD & WESTRIDGE DR,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,LAKESHORE RD & TRUSWELL RD,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,COOK RD & LAKESHORE RD,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,GORDON DR & GUISACHAN RD,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,AMBROSI RD & HARVEY AVE,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,GORDON DR & HARVEY AVE,Intersection,AUGUST,Southern Interior,2010
,KELOWNA,RICHTER ST & ROSE AVE,Intersection,JULY,Southern Interior,2010
,KELOWNA,ELLIS ST & LEON AVE,Intersection,JULY,Southern Interior,2010
,KELOWNA,MUGFORD RD & RUTLAND RD N,Intersection,JULY,Southern Interior,2010
,KELOWNA,PANDOSY ST & ROSE AVE & PARKING ACCESS RD,Intersection,JUNE,Southern Interior,2010
,KELOWNA,AMBROSI RD & HARVEY AVE,Intersection,JUNE,Southern Interior,2010
,KELOWNA,HARVEY AVE & SPALL RD,Intersection,JUNE,Southern Interior,2010
,KELOWNA,HOLLYWOOD RD N & LEATHEAD RD,Intersection,JUNE,Southern Interior,2010
,KELOWNA,LONGHILL RD & SEXSMITH RD,Intersection,JUNE,Southern Interior,2010
,KELOWNA,BERNARD AVE & GORDON DR,Intersection,MARCH,Southern Interior,2010
,KELOWNA,GORDON DR & LEQUIME RD,Intersection,MAY,Southern Interior,2010
,KELOWNA,BENVOULIN RD & CASORSO RD,Intersection,MAY,Southern Interior,2010
,KELOWNA,LEON AVE & RICHTER ST,Intersection,MAY,Southern Interior,2010
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,MAY,Southern Interior,2010
,KELOWNA,HOLLYWOOD RD N & HOLLYWOOD RD S & HWY 33 W,Intersection,MAY,Southern Interior,2010
,KELOWNA,GERSTMAR RD & HWY 33 W,Intersection,MAY,Southern Interior,2010
,KELOWNA,ASHER RD & LEATHEAD RD,Intersection,MAY,Southern Interior,2010
,KELOWNA,DALL RD & MCCULLOCH RD,Intersection,NOVEMBER,Southern Interior,2010
,KELOWNA,CAPRI ST & HARVEY AVE,Intersection,NOVEMBER,Southern Interior,2010
,KELOWNA,DILWORTH DR & ENTERPRISE WAY,Intersection,NOVEMBER,Southern Interior,2010
,KELOWNA,ETHEL ST & HARVEY AVE,Intersection,NOVEMBER,Southern Interior,2010
,KELOWNA,FITZPATRICK RD & RUTLAND RD N,Intersection,NOVEMBER,Southern Interior,2010
,KELOWNA,BENVOULIN RD & BYRNS RD,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,BENVOULIN RD & COOPER RD & TURNING LANE,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,ENTERPRISE WAY & SPALL RD,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,BERNARD AVE & GORDON DR,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,BARON RD & ZIPRICK RD,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,HWY 33 W & MAYDEN RD & ZIPRICK RD & TURNING LANE,Intersection,OCTOBER,Southern Interior,2010
,KELOWNA,HARVEY AVE & VASILE RD,Intersection,SEPTEMBER,Southern Interior,2010
,KELOWNA,ENTERPRISE WAY & HWY 33 W,Intersection,SEPTEMBER,Southern Interior,2010
,KELOWNA,GLENMORE RD & GLENMORE RD N & UNION RD,Intersection,SEPTEMBER,Southern Interior,2010
,KELOWNA,ELDORADO RD & LAKESHORE RD,Intersection,APRIL,Southern Interior,2011
,KELOWNA,GORDON DR & HARVEY AVE,Intersection,APRIL,Southern Interior,2011
,KELOWNA,ELLIS ST & LEON AVE,Intersection,APRIL,Southern Interior,2011
,KELOWNA,BERNARD AVE & ST PAUL ST,Intersection,APRIL,Southern Interior,2011
,KELOWNA,ROYAL PINE DR & ROYAL VIEW CRT & ROYAL VIEW DR,Intersection,APRIL,Southern Interior,2011
,KELOWNA,BALLOU RD & GLENMORE RD & KANE RD,Intersection,APRIL,Southern Interior,2011
,KELOWNA,KEITH RD & LAKESHORE RD & MCCLURE RD,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,BEMROSE RD & POOLEY RD,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,GORDON DR & KLO RD,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,HOLLYWOOD RD S & SPRINGFIELD RD,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,BENVOULIN RD & DILWORTH DR & SPRINGFIELD RD & TURNING LANE,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,HWY 97 N & LECKIE RD,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,CLEMENT AVE & GORDON DR & TURNING LANE,Intersection,AUGUST,Southern Interior,2011
,KELOWNA,KIRSCHNER RD & SPRINGFIELD RD,Intersection,JULY,Southern Interior,2011
,KELOWNA,DILWORTH DR & HARVEY AVE,Intersection,JULY,Southern Interior,2011
,KELOWNA,HARVEY AVE & SPALL RD,Intersection,JULY,Southern Interior,2011
,KELOWNA,ENTERPRISE CRT & PARKINSON WAY & SPALL RD,Intersection,JULY,Southern Interior,2011
,KELOWNA,BERNARD AVE & GORDON DR,Intersection,JULY,Southern Interior,2011
,KELOWNA,ENTERPRISE WAY & POWICK RD,Intersection,JULY,Southern Interior,2011
,KELOWNA,HEIN RD & HOUGHTON RD,Intersection,JULY,Southern Interior,2011
,KELOWNA,RAYMER AVE & RICHTER ST,Intersection,JUNE,Southern Interior,2011
,KELOWNA,ABBOTT ST & MATHISON PL,Intersection,JUNE,Southern Interior,2011
,KELOWNA,HARVEY AVE & RICHTER ST,Intersection,JUNE,Southern Interior,2011
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,JUNE,Southern Interior,2011
,KELOWNA,FRANKLYN RD & LEATHEAD RD,Intersection,JUNE,Southern Interior,2011
,KELOWNA,ETHEL ST & HARVEY AVE,Intersection,MARCH,Southern Interior,2011
,KELOWNA,GORDON DR & LEON AVE,Intersection,MARCH,Southern Interior,2011
,KELOWNA,BENVOULIN RD & DILWORTH DR & SPRINGFIELD RD & TURNING LANE,Intersection,MAY,Southern Interior,2011
,KELOWNA,HWY 33 W & KNELLER RD,Intersection,MAY,Southern Interior,2011
,KELOWNA,DILWORTH CRES & GLENMORE DR,Intersection,MAY,Southern Interior,2011
,KELOWNA,LESTER RD & SYLVANIA CRES,Intersection,MAY,Southern Interior,2011
,KELOWNA,GLENMORE DR & HIGHLAND DR N,Intersection,MAY,Southern Interior,2011
,KELOWNA,GORDON DR & SUTHERLAND AVE,Intersection,NOVEMBER,Southern Interior,2011
,KELOWNA,SPRINGFIELD RD & ZIPRICK RD & PARK ACCESS RD,Intersection,NOVEMBER,Southern Interior,2011
,KELOWNA,HOLLYWOOD RD N & HOLLYWOOD RD S & HWY 33 W,Intersection,NOVEMBER,Southern Interior,2011
,KELOWNA,MCCURDY RD & MCCURDY RD E & RUTLAND RD N,Intersection,NOVEMBER,Southern Interior,2011
,KELOWNA,CADDER AVE & PANDOSY ST,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,SPALL RD & SPRINGFIELD RD,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,HOLBROOK RD E & MOLNAR RD,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,CLEMENT AVE & SPALL RD & TURNING LANE,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,HWY 33 E & MUIR RD,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,BRYDEN RD & DAVIE RD & HWY 33 W,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,GLENMORE DR & GLENMORE RD & HIGH RD & SUMMIT DR & TURNING LANE,Intersection,OCTOBER,Southern Interior,2011
,KELOWNA,GORDON DR & SUTHERLAND AVE,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,SPRINGFIELD RD & ZIPRICK RD & PARK ACCESS RD,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,HARDY ST & HARVEY AVE & TURNING LANE,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,GORDON DR & HARVEY AVE,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,LEON AVE & RICHTER ST,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,BERNARD AVE & GLENMORE DR & SPALL RD & TURNING LANE,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,GERSTMAR RD & HWY 33 W,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,ANDERSON RD & OLD VERNON RD,Intersection,SEPTEMBER,Southern Interior,2011
,KELOWNA,DALL RD & MCCULLOCH RD,Intersection,APRIL,Southern Interior,2012
,KELOWNA,GORDON DR & KLO RD,Intersection,APRIL,Southern Interior,2012
,KELOWNA,ELLIS ST & HARVEY AVE,Intersection,APRIL,Southern Interior,2012
,KELOWNA,BANKS RD & HWY 97 N & TURNING LANE,Intersection,APRIL,Southern Interior,2012
,KELOWNA,FRANKLYN RD & LEATHEAD RD,Intersection,APRIL,Southern Interior,2012
,KELOWNA,MCCURDY RD & MCCURDY RD E & RUTLAND RD N,Intersection,APRIL,Southern Interior,2012
,KELOWNA,RAYMER AVE & RICHTER ST,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,FALKIRK RD & HOLLYWOOD RD S,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,ELLIS ST & HARVEY AVE,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,BERTRAM ST & LEON AVE,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,FRANKLYN RD & HWY 33 W,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,COMMONWEALTH RD,Intersection,AUGUST,Southern Interior,2012
,KELOWNA,GORDON DR & OLD MEADOWS RD,Intersection,DECEMBER,Southern Interior,2012
,KELOWNA,HWY 33 W & MILLS RD,Intersection,DECEMBER,Southern Interior,2012
,KELOWNA,HARVEY AVE & PANDOSY ST & WATER ST & TURNING LANE,Intersection,FEBRUARY,Southern Interior,2012
,KELOWNA,HOLLYWOOD RD N & MCCURDY RD,Intersection,FEBRUARY,Southern Interior,2012
,KELOWNA,ELLIS ST & MANHATTAN DR & RECREATION AVE,Intersection,JANUARY,Southern Interior,2012
,KELOWNA,BIRCH AVE & RICHTER ST,Intersection,JULY,Southern Interior,2012
,KELOWNA,RICHTER ST & ROSE AVE,Intersection,JULY,Southern Interior,2012
,KELOWNA,DOYLE AVE & ELLIS ST,Intersection,JULY,Southern Interior,2012
,KELOWNA,CAWSTON AVE & RICHTER ST,Intersection,JULY,Southern Interior,2012
,KELOWNA,FARRIS RD & FULLER RD,Intersection,JUNE,Southern Interior,2012
,KELOWNA,CEDAR AVE & KLO RD & LAKESHORE RD & PANDOSY ST,Intersection,JUNE,Southern Interior,2012
,KELOWNA,SPALL RD & SPRINGFIELD RD,Intersection,JUNE,Southern Interior,2012
,KELOWNA,DILWORTH DR & ENTERPRISE WAY,Intersection,JUNE,Southern Interior,2012
,KELOWNA,HARVEY AVE & RICHTER ST,Intersection,JUNE,Southern Interior,2012
,KELOWNA,BANKS RD & HWY 97 N & TURNING LANE,Intersection,JUNE,Southern Interior,2012
,KELOWNA,CAMPUS EAST RD & GOSNELL RD & RAYMER AVE,Intersection,MARCH,Southern Interior,2012
,KELOWNA,BARON RD & LECKIE RD,Intersection,MARCH,Southern Interior,2012
,KELOWNA,BENVOULIN RD & DILWORTH DR & SPRINGFIELD RD & TURNING LANE,Intersection,MAY,Southern Interior,2012
,KELOWNA,BURTCH RD & DICKSON AVE,Intersection,MAY,Southern Interior,2012
,KELOWNA,RICHTER ST & SUTHERLAND AVE,Intersection,MAY,Southern Interior,2012
,KELOWNA,RUTLAND RD N & SUMAC RD E,Intersection,MAY,Southern Interior,2012
,KELOWNA,BENVOULIN RD & DILWORTH DR & SPRINGFIELD RD & TURNING LANE,Intersection,NOVEMBER,Southern Interior,2012
,KELOWNA,SPALL RD & SPRINGFIELD RD,Intersection,NOVEMBER,Southern Interior,2012
,KELOWNA,BAL PL & HWY 33 E & SPRINGFIELD RD & TURNING LANE,Intersection,NOVEMBER,Southern Interior,2012
,KELOWNA,CAWSTON AVE & ST PAUL ST,Intersection,NOVEMBER,Southern Interior,2012
,KELOWNA,HWY 97 N & LECKIE RD,Intersection,OCTOBER,Southern Interior,2012
,KELOWNA,HWY 33 E & HWY 33 W & RUTLAND RD N & RUTLAND RD S,Intersection,OCTOBER,Southern Interior,2012
,KELOWNA,HOLLYWOOD RD N & HOLLYWOOD RD S & HWY 33 W,Intersection,OCTOBER,Southern Interior,2012
,KELOWNA,HWY 33 W & HWY 97 N & TURNING LANE,Intersection,OCTOBER,Southern Interior,2012
,KELOWNA,BACH RD & LEATHEAD RD & RUTLAND RD N,Intersection,OCTOBER,Southern Interior,2012
,KELOWNA,BONJOU RD & MCCLURE RD,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,CAMERON AVE & GORDON DR,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,CADDER AVE & ETHEL ST & SPRINGFIELD RD,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,RICHTER ST & SUTHERLAND AVE,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,LEATHEAD RD & MCPHEE ST,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,MCCURDY RD & MCCURDY RD E & RUTLAND RD N,Intersection,SEPTEMBER,Southern Interior,2012
,KELOWNA,PANDOSY ST & RAYMER AVE,Intersection,APRIL,Southern Interior,2013
,KELOWNA,BERNARD AVE & ETHEL ST,Intersection,APRIL,Southern Interior,2013
,KELOWNA,BERNARD AVE & ELLIS ST,Intersection,APRIL,Southern Interior,2013
,KELOWNA,BANKS RD & ENTERPRISE WAY,Intersection,APRIL,Southern Interior,2013
,KELOWNA,GERSTMAR RD & HWY 33 W,Intersection,APRIL,Southern Interior,2013
,KELOWNA,LAKESHORE RD & LEQUIME RD,Intersection,AUGUST,Southern Interior,2013
,KELOWNA,DAYTON ST & SPRINGFIELD RD,Intersection,AUGUST,Southern Interior,2013
,KELOWNA,BRYDEN RD & DAVIE RD & HWY 33 W,Intersection,AUGUST,Southern Interior,2013
,KELOWNA,COMMERCIAL DR & RUTLAND RD N,Intersection,DECEMBER,Southern Interior,2013
,KELOWNA,DILWORTH DR & HARVEY AVE,Intersection,JANUARY,Southern Interior,2013
,KELOWNA,BARNABY RD & CHUTE LAKE RD & LAKESHORE RD & TURNING LANE,Intersection,JULY,Southern Interior,2013
,KELOWNA,CADDER AVE & PANDOSY ST,Intersection,JULY,Southern Interior,2013
,KELOWNA,LECKIE RD & SPRINGFIELD RD & PARK ACCESS RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,AMBROSI RD & HARVEY AVE,Intersection,JULY,Southern Interior,2013
,KELOWNA,ENTERPRISE CRT & PARKINSON WAY & SPALL RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,ENTERPRISE WAY & SPALL RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,ASHER RD & LEATHEAD RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,HOLLYWOOD RD N & LEATHEAD RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,GLENMORE RD & YATES RD,Intersection,JULY,Southern Interior,2013
,KELOWNA,CROSS RD & DRYSDALE BLVD,Intersection,JULY,Southern Interior,2013
,KELOWNA,BURTCH RD & SUTHERLAND AVE,Intersection,JUNE,Southern Interior,2013
,KELOWNA,CLEMENT AVE & GORDON DR & TURNING LANE,Intersection,JUNE,Southern Interior,2013
,KELOWNA,KANE RD & VALLEY RD,Intersection,JUNE,Southern Interior,2013
,KELOWNA,GORDON DR & SPRINGFIELD RD,Intersection,MARCH,Southern Interior,2013
,KELOWNA,COOPER RD & SPRINGFIELD RD,Intersection,MARCH,Southern Interior,2013
,KELOWNA,MCCURDY RD & MCCURDY RD E & RUTLAND RD N,Intersection,MARCH,Southern Interior,2013
,KELOWNA,COOK RD & GORDON DR,Intersection,MAY,Southern Interior,2013
,KELOWNA,CASORSO RD & KLO RD,Intersection,MAY,Southern Interior,2013
,KELOWNA,RICHTER ST & ROSE AVE,Intersection,MAY,Southern Interior,2013
,KELOWNA,CADDER AVE & ETHEL ST & SPRINGFIELD RD,Intersection,MAY,Southern Interior,2013
,KELOWNA,BUCKLAND AVE & PANDOSY ST,Intersection,MAY,Southern Interior,2013
,KELOWNA,BURTCH RD & HARVEY AVE,Intersection,MAY,Southern Interior,2013
,KELOWNA,QUEENSWAY & WATER ST,Intersection,MAY,Southern Interior,2013
,KELOWNA,HIGH RD & KENNEDY ST,Intersection,MAY,Southern Interior,2013
,KELOWNA,BALLOU RD & GLENMORE RD & KANE RD,Intersection,MAY,Southern Interior,2013
,KELOWNA,BARON RD & LECKIE RD,Intersection,OCTOBER,Southern Interior,2013
,KELOWNA,ABERDEEN ST & BIRCH AVE,Intersection,SEPTEMBER,Southern Interior,2013
,KELOWNA,HARVEY AVE & HWY 97 N,Intersection,SEPTEMBER,Southern Interior,2013
,KELOWNA,AURORA CRES & HWY 33 W,Intersection,SEPTEMBER,Southern Interior,2013
,KELOWNA,ENTERPRISE WAY & HWY 97 N & LEATHEAD RD & TURNING LANE,Intersection,SEPTEMBER,Southern Interior,2013
,KELOWNA,approx 3155 LAKESHORE RD,Road Segment,APRIL,Southern Interior,2009
,KELOWNA,approx 400 BLK GLENMORE RD,Road Segment,JUNE,Southern Interior,2011
,KELOWNA,approx 3080 SEXSMITH RD,Road Segment,MAY,Southern Interior,2011
,KELOWNA,approx 2260 BENVOULIN RD,Road Segment,JUNE,Southern Interior,2012
,KELOWNA,approx 4433 GORDON DR,Road Segment,MAY,Southern Interior,2012
,KELOWNA,approx 3700 BLK HWY 97,Road Segment,SEPTEMBER,Southern Interior,2012
,KELOWNA,approx 2540 ENTERPRISE WAY,Road Segment,JUNE,Southern Interior,2013
,KELOWNA,approx 1040 LAURIER AVE,Road Segment,SEPTEMBER,Southern Interior,2013
,KOKSILAH,FRANCIS ST & MILLER RD & TRANS-CANADA HWY,Intersection,AUGUST,Vancouver Island,2012
,LADYSMITH,BRENTON-PAGE RD & TRANS-CANADA HWY & TURNING LANE,Intersection,JUNE,Vancouver Island,2009
,LADYSMITH,1ST AVE & WARREN ST,Intersection,MAY,Vancouver Island,2009
,LADYSMITH,GROUHEL RD & TRANS-CANADA HWY & TURNING LANE,Intersection,AUGUST,Vancouver Island,2010
